,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14798850,57808,BANKNIFTY23FEB39000PE,BANKNIFTY,0.0,2023-02-23,39000.0,0.05,25,PE,NFO-OPT,NFO
1,14801410,57818,BANKNIFTY23FEB39500PE,BANKNIFTY,0.0,2023-02-23,39500.0,0.05,25,PE,NFO-OPT,NFO
2,14802434,57822,BANKNIFTY23FEB39700PE,BANKNIFTY,0.0,2023-02-23,39700.0,0.05,25,PE,NFO-OPT,NFO
3,14802946,57824,BANKNIFTY23FEB39800PE,BANKNIFTY,0.0,2023-02-23,39800.0,0.05,25,PE,NFO-OPT,NFO
4,14803458,57826,BANKNIFTY23FEB39900PE,BANKNIFTY,0.0,2023-02-23,39900.0,0.05,25,PE,NFO-OPT,NFO
5,14803970,57828,BANKNIFTY23FEB40000PE,BANKNIFTY,0.0,2023-02-23,40000.0,0.05,25,PE,NFO-OPT,NFO
6,14804482,57830,BANKNIFTY23FEB40100PE,BANKNIFTY,0.0,2023-02-23,40100.0,0.05,25,PE,NFO-OPT,NFO
7,14804994,57832,BANKNIFTY23FEB40200PE,BANKNIFTY,0.0,2023-02-23,40200.0,0.05,25,PE,NFO-OPT,NFO
8,14805506,57834,BANKNIFTY23FEB40300PE,BANKNIFTY,0.0,2023-02-23,40300.0,0.05,25,PE,NFO-OPT,NFO
9,14806018,57836,BANKNIFTY23FEB40400PE,BANKNIFTY,0.0,2023-02-23,40400.0,0.05,25,PE,NFO-OPT,NFO
10,14806530,57838,BANKNIFTY23FEB40500PE,BANKNIFTY,0.0,2023-02-23,40500.0,0.05,25,PE,NFO-OPT,NFO
11,14807042,57840,BANKNIFTY23FEB40600PE,BANKNIFTY,0.0,2023-02-23,40600.0,0.05,25,PE,NFO-OPT,NFO
12,14807554,57842,BANKNIFTY23FEB40700PE,BANKNIFTY,0.0,2023-02-23,40700.0,0.05,25,PE,NFO-OPT,NFO
13,14808066,57844,BANKNIFTY23FEB40800PE,BANKNIFTY,0.0,2023-02-23,40800.0,0.05,25,PE,NFO-OPT,NFO
14,14808578,57846,BANKNIFTY23FEB40900PE,BANKNIFTY,0.0,2023-02-23,40900.0,0.05,25,PE,NFO-OPT,NFO
15,14809090,57848,BANKNIFTY23FEB41000PE,BANKNIFTY,0.0,2023-02-23,41000.0,0.05,25,PE,NFO-OPT,NFO
16,14809602,57850,BANKNIFTY23FEB41100PE,BANKNIFTY,0.0,2023-02-23,41100.0,0.05,25,PE,NFO-OPT,NFO
17,14810114,57852,BANKNIFTY23FEB41200PE,BANKNIFTY,0.0,2023-02-23,41200.0,0.05,25,PE,NFO-OPT,NFO
18,14810626,57854,BANKNIFTY23FEB41300PE,BANKNIFTY,0.0,2023-02-23,41300.0,0.05,25,PE,NFO-OPT,NFO
19,14811138,57856,BANKNIFTY23FEB41400PE,BANKNIFTY,0.0,2023-02-23,41400.0,0.05,25,PE,NFO-OPT,NFO
20,14811650,57858,BANKNIFTY23FEB41500PE,BANKNIFTY,0.0,2023-02-23,41500.0,0.05,25,PE,NFO-OPT,NFO
21,14812162,57860,BANKNIFTY23FEB41600PE,BANKNIFTY,0.0,2023-02-23,41600.0,0.05,25,PE,NFO-OPT,NFO
22,14812674,57862,BANKNIFTY23FEB41700PE,BANKNIFTY,0.0,2023-02-23,41700.0,0.05,25,PE,NFO-OPT,NFO
23,14813186,57864,BANKNIFTY23FEB41800PE,BANKNIFTY,0.0,2023-02-23,41800.0,0.05,25,PE,NFO-OPT,NFO
24,14813698,57866,BANKNIFTY23FEB41900PE,BANKNIFTY,0.0,2023-02-23,41900.0,0.05,25,PE,NFO-OPT,NFO
25,14814210,57868,BANKNIFTY23FEB42000PE,BANKNIFTY,0.0,2023-02-23,42000.0,0.05,25,PE,NFO-OPT,NFO
26,14814722,57870,BANKNIFTY23FEB42100PE,BANKNIFTY,0.0,2023-02-23,42100.0,0.05,25,PE,NFO-OPT,NFO
27,14815234,57872,BANKNIFTY23FEB42200PE,BANKNIFTY,0.0,2023-02-23,42200.0,0.05,25,PE,NFO-OPT,NFO
28,14815746,57874,BANKNIFTY23FEB42300PE,BANKNIFTY,0.0,2023-02-23,42300.0,0.05,25,PE,NFO-OPT,NFO
29,14816258,57876,BANKNIFTY23FEB42400PE,BANKNIFTY,0.0,2023-02-23,42400.0,0.05,25,PE,NFO-OPT,NFO
30,14816770,57878,BANKNIFTY23FEB42500PE,BANKNIFTY,0.0,2023-02-23,42500.0,0.05,25,PE,NFO-OPT,NFO
31,14817282,57880,BANKNIFTY23FEB42600PE,BANKNIFTY,0.0,2023-02-23,42600.0,0.05,25,PE,NFO-OPT,NFO
32,14817794,57882,BANKNIFTY23FEB42700PE,BANKNIFTY,0.0,2023-02-23,42700.0,0.05,25,PE,NFO-OPT,NFO
33,14818306,57884,BANKNIFTY23FEB42800PE,BANKNIFTY,0.0,2023-02-23,42800.0,0.05,25,PE,NFO-OPT,NFO
34,14818818,57886,BANKNIFTY23FEB42900PE,BANKNIFTY,0.0,2023-02-23,42900.0,0.05,25,PE,NFO-OPT,NFO
35,14819330,57888,BANKNIFTY23FEB43000PE,BANKNIFTY,0.0,2023-02-23,43000.0,0.05,25,PE,NFO-OPT,NFO
36,14819842,57890,BANKNIFTY23FEB43100PE,BANKNIFTY,0.0,2023-02-23,43100.0,0.05,25,PE,NFO-OPT,NFO
37,14820354,57892,BANKNIFTY23FEB43200PE,BANKNIFTY,0.0,2023-02-23,43200.0,0.05,25,PE,NFO-OPT,NFO
38,14820866,57894,BANKNIFTY23FEB43300PE,BANKNIFTY,0.0,2023-02-23,43300.0,0.05,25,PE,NFO-OPT,NFO
39,14821378,57896,BANKNIFTY23FEB43400PE,BANKNIFTY,0.0,2023-02-23,43400.0,0.05,25,PE,NFO-OPT,NFO
40,14821890,57898,BANKNIFTY23FEB43500PE,BANKNIFTY,0.0,2023-02-23,43500.0,0.05,25,PE,NFO-OPT,NFO
41,14822402,57900,BANKNIFTY23FEB43600PE,BANKNIFTY,0.0,2023-02-23,43600.0,0.05,25,PE,NFO-OPT,NFO
42,14822914,57902,BANKNIFTY23FEB43700PE,BANKNIFTY,0.0,2023-02-23,43700.0,0.05,25,PE,NFO-OPT,NFO
43,14823938,57906,BANKNIFTY23FEB43800PE,BANKNIFTY,0.0,2023-02-23,43800.0,0.05,25,PE,NFO-OPT,NFO
44,14824962,57910,BANKNIFTY23FEB43900PE,BANKNIFTY,0.0,2023-02-23,43900.0,0.05,25,PE,NFO-OPT,NFO
