,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,18039810,70468,NIFTY2372017500PE,NIFTY,0.0,2023-07-20,17500.0,0.05,50,PE,NFO-OPT,NFO
1,18040834,70472,NIFTY2372017600PE,NIFTY,0.0,2023-07-20,17600.0,0.05,50,PE,NFO-OPT,NFO
2,18041858,70476,NIFTY2372017700PE,NIFTY,0.0,2023-07-20,17700.0,0.05,50,PE,NFO-OPT,NFO
3,18042882,70480,NIFTY2372017800PE,NIFTY,0.0,2023-07-20,17800.0,0.05,50,PE,NFO-OPT,NFO
4,18046978,70496,NIFTY2372017900PE,NIFTY,0.0,2023-07-20,17900.0,0.05,50,PE,NFO-OPT,NFO
5,18050562,70510,NIFTY2372018000PE,NIFTY,0.0,2023-07-20,18000.0,0.05,50,PE,NFO-OPT,NFO
6,18052098,70516,NIFTY2372018100PE,NIFTY,0.0,2023-07-20,18100.0,0.05,50,PE,NFO-OPT,NFO
7,18053122,70520,NIFTY2372018200PE,NIFTY,0.0,2023-07-20,18200.0,0.05,50,PE,NFO-OPT,NFO
8,18054146,70524,NIFTY2372018300PE,NIFTY,0.0,2023-07-20,18300.0,0.05,50,PE,NFO-OPT,NFO
9,18055170,70528,NIFTY2372018400PE,NIFTY,0.0,2023-07-20,18400.0,0.05,50,PE,NFO-OPT,NFO
10,18102530,70713,NIFTY2372018500PE,NIFTY,0.0,2023-07-20,18500.0,0.05,50,PE,NFO-OPT,NFO
11,18167810,70968,NIFTY2372018600PE,NIFTY,0.0,2023-07-20,18600.0,0.05,50,PE,NFO-OPT,NFO
12,18461698,72116,NIFTY2372018700PE,NIFTY,0.0,2023-07-20,18700.0,0.05,50,PE,NFO-OPT,NFO
13,18463234,72122,NIFTY2372018800PE,NIFTY,0.0,2023-07-20,18800.0,0.05,50,PE,NFO-OPT,NFO
14,18471938,72156,NIFTY2372018900PE,NIFTY,0.0,2023-07-20,18900.0,0.05,50,PE,NFO-OPT,NFO
15,18480898,72191,NIFTY2372019000PE,NIFTY,0.0,2023-07-20,19000.0,0.05,50,PE,NFO-OPT,NFO
16,18481922,72195,NIFTY2372019100PE,NIFTY,0.0,2023-07-20,19100.0,0.05,50,PE,NFO-OPT,NFO
17,18486274,72212,NIFTY2372019200PE,NIFTY,0.0,2023-07-20,19200.0,0.05,50,PE,NFO-OPT,NFO
18,18487298,72216,NIFTY2372019300PE,NIFTY,0.0,2023-07-20,19300.0,0.05,50,PE,NFO-OPT,NFO
19,18488322,72220,NIFTY2372019400PE,NIFTY,0.0,2023-07-20,19400.0,0.05,50,PE,NFO-OPT,NFO
20,18489346,72224,NIFTY2372019500PE,NIFTY,0.0,2023-07-20,19500.0,0.05,50,PE,NFO-OPT,NFO
21,18491138,72231,NIFTY2372019600PE,NIFTY,0.0,2023-07-20,19600.0,0.05,50,PE,NFO-OPT,NFO
22,18492162,72235,NIFTY2372019700PE,NIFTY,0.0,2023-07-20,19700.0,0.05,50,PE,NFO-OPT,NFO
23,18493186,72239,NIFTY2372019800PE,NIFTY,0.0,2023-07-20,19800.0,0.05,50,PE,NFO-OPT,NFO
24,18494210,72243,NIFTY2372019900PE,NIFTY,0.0,2023-07-20,19900.0,0.05,50,PE,NFO-OPT,NFO
25,18495234,72247,NIFTY2372020000PE,NIFTY,0.0,2023-07-20,20000.0,0.05,50,PE,NFO-OPT,NFO
26,18496258,72251,NIFTY2372020100PE,NIFTY,0.0,2023-07-20,20100.0,0.05,50,PE,NFO-OPT,NFO
27,18497282,72255,NIFTY2372020200PE,NIFTY,0.0,2023-07-20,20200.0,0.05,50,PE,NFO-OPT,NFO
28,18498306,72259,NIFTY2372020300PE,NIFTY,0.0,2023-07-20,20300.0,0.05,50,PE,NFO-OPT,NFO
29,18499330,72263,NIFTY2372020400PE,NIFTY,0.0,2023-07-20,20400.0,0.05,50,PE,NFO-OPT,NFO
30,18500354,72267,NIFTY2372020500PE,NIFTY,0.0,2023-07-20,20500.0,0.05,50,PE,NFO-OPT,NFO
31,18501378,72271,NIFTY2372020600PE,NIFTY,0.0,2023-07-20,20600.0,0.05,50,PE,NFO-OPT,NFO
32,18502402,72275,NIFTY2372020700PE,NIFTY,0.0,2023-07-20,20700.0,0.05,50,PE,NFO-OPT,NFO
33,18503426,72279,NIFTY2372020800PE,NIFTY,0.0,2023-07-20,20800.0,0.05,50,PE,NFO-OPT,NFO
34,18504450,72283,NIFTY2372020900PE,NIFTY,0.0,2023-07-20,20900.0,0.05,50,PE,NFO-OPT,NFO
35,18505474,72287,NIFTY2372021000PE,NIFTY,0.0,2023-07-20,21000.0,0.05,50,PE,NFO-OPT,NFO
