,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,10159362,39685,BANKNIFTY2351138000CE,BANKNIFTY,0.0,2023-05-11,38000.0,0.05,25,CE,NFO-OPT,NFO
1,10163202,39700,BANKNIFTY2351138300CE,BANKNIFTY,0.0,2023-05-11,38300.0,0.05,25,CE,NFO-OPT,NFO
2,10163714,39702,BANKNIFTY2351138400CE,BANKNIFTY,0.0,2023-05-11,38400.0,0.05,25,CE,NFO-OPT,NFO
3,10164226,39704,BANKNIFTY2351138500CE,BANKNIFTY,0.0,2023-05-11,38500.0,0.05,25,CE,NFO-OPT,NFO
4,10165250,39708,BANKNIFTY2351138600CE,BANKNIFTY,0.0,2023-05-11,38600.0,0.05,25,CE,NFO-OPT,NFO
5,10165762,39710,BANKNIFTY2351138700CE,BANKNIFTY,0.0,2023-05-11,38700.0,0.05,25,CE,NFO-OPT,NFO
6,10166274,39712,BANKNIFTY2351138800CE,BANKNIFTY,0.0,2023-05-11,38800.0,0.05,25,CE,NFO-OPT,NFO
7,10166786,39714,BANKNIFTY2351138900CE,BANKNIFTY,0.0,2023-05-11,38900.0,0.05,25,CE,NFO-OPT,NFO
8,10167810,39718,BANKNIFTY2351139000CE,BANKNIFTY,0.0,2023-05-11,39000.0,0.05,25,CE,NFO-OPT,NFO
9,10168322,39720,BANKNIFTY2351139100CE,BANKNIFTY,0.0,2023-05-11,39100.0,0.05,25,CE,NFO-OPT,NFO
10,10168834,39722,BANKNIFTY2351139200CE,BANKNIFTY,0.0,2023-05-11,39200.0,0.05,25,CE,NFO-OPT,NFO
11,10169346,39724,BANKNIFTY2351139300CE,BANKNIFTY,0.0,2023-05-11,39300.0,0.05,25,CE,NFO-OPT,NFO
12,10169858,39726,BANKNIFTY2351139400CE,BANKNIFTY,0.0,2023-05-11,39400.0,0.05,25,CE,NFO-OPT,NFO
13,10170370,39728,BANKNIFTY2351139500CE,BANKNIFTY,0.0,2023-05-11,39500.0,0.05,25,CE,NFO-OPT,NFO
14,10170882,39730,BANKNIFTY2351139600CE,BANKNIFTY,0.0,2023-05-11,39600.0,0.05,25,CE,NFO-OPT,NFO
15,10171394,39732,BANKNIFTY2351139700CE,BANKNIFTY,0.0,2023-05-11,39700.0,0.05,25,CE,NFO-OPT,NFO
16,10171906,39734,BANKNIFTY2351139800CE,BANKNIFTY,0.0,2023-05-11,39800.0,0.05,25,CE,NFO-OPT,NFO
17,10172418,39736,BANKNIFTY2351139900CE,BANKNIFTY,0.0,2023-05-11,39900.0,0.05,25,CE,NFO-OPT,NFO
18,10172930,39738,BANKNIFTY2351140000CE,BANKNIFTY,0.0,2023-05-11,40000.0,0.05,25,CE,NFO-OPT,NFO
19,10173442,39740,BANKNIFTY2351140100CE,BANKNIFTY,0.0,2023-05-11,40100.0,0.05,25,CE,NFO-OPT,NFO
20,10173954,39742,BANKNIFTY2351140200CE,BANKNIFTY,0.0,2023-05-11,40200.0,0.05,25,CE,NFO-OPT,NFO
21,10174722,39745,BANKNIFTY2351140300CE,BANKNIFTY,0.0,2023-05-11,40300.0,0.05,25,CE,NFO-OPT,NFO
22,10175490,39748,BANKNIFTY2351140400CE,BANKNIFTY,0.0,2023-05-11,40400.0,0.05,25,CE,NFO-OPT,NFO
23,10176002,39750,BANKNIFTY2351140500CE,BANKNIFTY,0.0,2023-05-11,40500.0,0.05,25,CE,NFO-OPT,NFO
24,10176514,39752,BANKNIFTY2351140600CE,BANKNIFTY,0.0,2023-05-11,40600.0,0.05,25,CE,NFO-OPT,NFO
25,10177282,39755,BANKNIFTY2351140700CE,BANKNIFTY,0.0,2023-05-11,40700.0,0.05,25,CE,NFO-OPT,NFO
26,10180098,39766,BANKNIFTY2351140800CE,BANKNIFTY,0.0,2023-05-11,40800.0,0.05,25,CE,NFO-OPT,NFO
27,10180866,39769,BANKNIFTY2351140900CE,BANKNIFTY,0.0,2023-05-11,40900.0,0.05,25,CE,NFO-OPT,NFO
28,10181634,39772,BANKNIFTY2351141000CE,BANKNIFTY,0.0,2023-05-11,41000.0,0.05,25,CE,NFO-OPT,NFO
29,10184962,39785,BANKNIFTY2351141100CE,BANKNIFTY,0.0,2023-05-11,41100.0,0.05,25,CE,NFO-OPT,NFO
30,10186754,39792,BANKNIFTY2351141200CE,BANKNIFTY,0.0,2023-05-11,41200.0,0.05,25,CE,NFO-OPT,NFO
31,10187778,39796,BANKNIFTY2351141300CE,BANKNIFTY,0.0,2023-05-11,41300.0,0.05,25,CE,NFO-OPT,NFO
32,10188802,39800,BANKNIFTY2351141400CE,BANKNIFTY,0.0,2023-05-11,41400.0,0.05,25,CE,NFO-OPT,NFO
33,10189314,39802,BANKNIFTY2351141500CE,BANKNIFTY,0.0,2023-05-11,41500.0,0.05,25,CE,NFO-OPT,NFO
34,10189826,39804,BANKNIFTY2351141600CE,BANKNIFTY,0.0,2023-05-11,41600.0,0.05,25,CE,NFO-OPT,NFO
35,10191618,39811,BANKNIFTY2351141700CE,BANKNIFTY,0.0,2023-05-11,41700.0,0.05,25,CE,NFO-OPT,NFO
36,10192130,39813,BANKNIFTY2351141800CE,BANKNIFTY,0.0,2023-05-11,41800.0,0.05,25,CE,NFO-OPT,NFO
37,10193154,39817,BANKNIFTY2351141900CE,BANKNIFTY,0.0,2023-05-11,41900.0,0.05,25,CE,NFO-OPT,NFO
38,10195458,39826,BANKNIFTY2351142000CE,BANKNIFTY,0.0,2023-05-11,42000.0,0.05,25,CE,NFO-OPT,NFO
39,10195970,39828,BANKNIFTY2351142100CE,BANKNIFTY,0.0,2023-05-11,42100.0,0.05,25,CE,NFO-OPT,NFO
40,10197506,39834,BANKNIFTY2351142200CE,BANKNIFTY,0.0,2023-05-11,42200.0,0.05,25,CE,NFO-OPT,NFO
41,10198018,39836,BANKNIFTY2351142300CE,BANKNIFTY,0.0,2023-05-11,42300.0,0.05,25,CE,NFO-OPT,NFO
42,10198530,39838,BANKNIFTY2351142400CE,BANKNIFTY,0.0,2023-05-11,42400.0,0.05,25,CE,NFO-OPT,NFO
43,10199042,39840,BANKNIFTY2351142500CE,BANKNIFTY,0.0,2023-05-11,42500.0,0.05,25,CE,NFO-OPT,NFO
44,10206210,39868,BANKNIFTY2351142600CE,BANKNIFTY,0.0,2023-05-11,42600.0,0.05,25,CE,NFO-OPT,NFO
45,10206722,39870,BANKNIFTY2351142700CE,BANKNIFTY,0.0,2023-05-11,42700.0,0.05,25,CE,NFO-OPT,NFO
46,10207234,39872,BANKNIFTY2351142800CE,BANKNIFTY,0.0,2023-05-11,42800.0,0.05,25,CE,NFO-OPT,NFO
47,10207746,39874,BANKNIFTY2351142900CE,BANKNIFTY,0.0,2023-05-11,42900.0,0.05,25,CE,NFO-OPT,NFO
48,10208258,39876,BANKNIFTY2351143000CE,BANKNIFTY,0.0,2023-05-11,43000.0,0.05,25,CE,NFO-OPT,NFO
49,10209794,39882,BANKNIFTY2351143100CE,BANKNIFTY,0.0,2023-05-11,43100.0,0.05,25,CE,NFO-OPT,NFO
50,10210306,39884,BANKNIFTY2351143200CE,BANKNIFTY,0.0,2023-05-11,43200.0,0.05,25,CE,NFO-OPT,NFO
51,10210818,39886,BANKNIFTY2351143300CE,BANKNIFTY,0.0,2023-05-11,43300.0,0.05,25,CE,NFO-OPT,NFO
52,10212098,39891,BANKNIFTY2351143400CE,BANKNIFTY,0.0,2023-05-11,43400.0,0.05,25,CE,NFO-OPT,NFO
53,10212866,39894,BANKNIFTY2351143500CE,BANKNIFTY,0.0,2023-05-11,43500.0,0.05,25,CE,NFO-OPT,NFO
54,10214402,39900,BANKNIFTY2351143600CE,BANKNIFTY,0.0,2023-05-11,43600.0,0.05,25,CE,NFO-OPT,NFO
55,10214914,39902,BANKNIFTY2351143700CE,BANKNIFTY,0.0,2023-05-11,43700.0,0.05,25,CE,NFO-OPT,NFO
56,10215938,39906,BANKNIFTY2351143800CE,BANKNIFTY,0.0,2023-05-11,43800.0,0.05,25,CE,NFO-OPT,NFO
57,10216450,39908,BANKNIFTY2351143900CE,BANKNIFTY,0.0,2023-05-11,43900.0,0.05,25,CE,NFO-OPT,NFO
58,10216962,39910,BANKNIFTY2351144000CE,BANKNIFTY,0.0,2023-05-11,44000.0,0.05,25,CE,NFO-OPT,NFO
59,10220034,39922,BANKNIFTY2351144100CE,BANKNIFTY,0.0,2023-05-11,44100.0,0.05,25,CE,NFO-OPT,NFO
60,10220546,39924,BANKNIFTY2351144200CE,BANKNIFTY,0.0,2023-05-11,44200.0,0.05,25,CE,NFO-OPT,NFO
61,10221058,39926,BANKNIFTY2351144300CE,BANKNIFTY,0.0,2023-05-11,44300.0,0.05,25,CE,NFO-OPT,NFO
62,10222594,39932,BANKNIFTY2351144400CE,BANKNIFTY,0.0,2023-05-11,44400.0,0.05,25,CE,NFO-OPT,NFO
63,10224642,39940,BANKNIFTY2351144500CE,BANKNIFTY,0.0,2023-05-11,44500.0,0.05,25,CE,NFO-OPT,NFO
64,10225154,39942,BANKNIFTY2351144600CE,BANKNIFTY,0.0,2023-05-11,44600.0,0.05,25,CE,NFO-OPT,NFO
65,10225666,39944,BANKNIFTY2351144700CE,BANKNIFTY,0.0,2023-05-11,44700.0,0.05,25,CE,NFO-OPT,NFO
66,10226434,39947,BANKNIFTY2351144800CE,BANKNIFTY,0.0,2023-05-11,44800.0,0.05,25,CE,NFO-OPT,NFO
67,10228482,39955,BANKNIFTY2351145000CE,BANKNIFTY,0.0,2023-05-11,45000.0,0.05,25,CE,NFO-OPT,NFO
68,10241026,40004,BANKNIFTY2351145500CE,BANKNIFTY,0.0,2023-05-11,45500.0,0.05,25,CE,NFO-OPT,NFO
69,10249218,40036,BANKNIFTY2351146000CE,BANKNIFTY,0.0,2023-05-11,46000.0,0.05,25,CE,NFO-OPT,NFO
