,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,11264514,44002,BANKNIFTY2362240000CE,BANKNIFTY,0.0,2023-06-22,40000.0,0.05,25,CE,NFO-OPT,NFO
1,11268098,44016,BANKNIFTY2362240500CE,BANKNIFTY,0.0,2023-06-22,40500.0,0.05,25,CE,NFO-OPT,NFO
2,11270914,44027,BANKNIFTY2362240900CE,BANKNIFTY,0.0,2023-06-22,40900.0,0.05,25,CE,NFO-OPT,NFO
3,11271426,44029,BANKNIFTY2362241000CE,BANKNIFTY,0.0,2023-06-22,41000.0,0.05,25,CE,NFO-OPT,NFO
4,11272962,44035,BANKNIFTY2362241100CE,BANKNIFTY,0.0,2023-06-22,41100.0,0.05,25,CE,NFO-OPT,NFO
5,11273474,44037,BANKNIFTY2362241200CE,BANKNIFTY,0.0,2023-06-22,41200.0,0.05,25,CE,NFO-OPT,NFO
6,11274242,44040,BANKNIFTY2362241300CE,BANKNIFTY,0.0,2023-06-22,41300.0,0.05,25,CE,NFO-OPT,NFO
7,11275010,44043,BANKNIFTY2362241400CE,BANKNIFTY,0.0,2023-06-22,41400.0,0.05,25,CE,NFO-OPT,NFO
8,11275522,44045,BANKNIFTY2362241500CE,BANKNIFTY,0.0,2023-06-22,41500.0,0.05,25,CE,NFO-OPT,NFO
9,11276546,44049,BANKNIFTY2362241600CE,BANKNIFTY,0.0,2023-06-22,41600.0,0.05,25,CE,NFO-OPT,NFO
10,11277314,44052,BANKNIFTY2362241700CE,BANKNIFTY,0.0,2023-06-22,41700.0,0.05,25,CE,NFO-OPT,NFO
11,11277826,44054,BANKNIFTY2362241800CE,BANKNIFTY,0.0,2023-06-22,41800.0,0.05,25,CE,NFO-OPT,NFO
12,11278338,44056,BANKNIFTY2362241900CE,BANKNIFTY,0.0,2023-06-22,41900.0,0.05,25,CE,NFO-OPT,NFO
13,11278850,44058,BANKNIFTY2362242000CE,BANKNIFTY,0.0,2023-06-22,42000.0,0.05,25,CE,NFO-OPT,NFO
14,11279362,44060,BANKNIFTY2362242100CE,BANKNIFTY,0.0,2023-06-22,42100.0,0.05,25,CE,NFO-OPT,NFO
15,11280386,44064,BANKNIFTY2362242200CE,BANKNIFTY,0.0,2023-06-22,42200.0,0.05,25,CE,NFO-OPT,NFO
16,11280898,44066,BANKNIFTY2362242300CE,BANKNIFTY,0.0,2023-06-22,42300.0,0.05,25,CE,NFO-OPT,NFO
17,11281410,44068,BANKNIFTY2362242400CE,BANKNIFTY,0.0,2023-06-22,42400.0,0.05,25,CE,NFO-OPT,NFO
18,11281922,44070,BANKNIFTY2362242500CE,BANKNIFTY,0.0,2023-06-22,42500.0,0.05,25,CE,NFO-OPT,NFO
19,11282946,44074,BANKNIFTY2362242600CE,BANKNIFTY,0.0,2023-06-22,42600.0,0.05,25,CE,NFO-OPT,NFO
20,11283970,44078,BANKNIFTY2362242700CE,BANKNIFTY,0.0,2023-06-22,42700.0,0.05,25,CE,NFO-OPT,NFO
21,11284482,44080,BANKNIFTY2362242800CE,BANKNIFTY,0.0,2023-06-22,42800.0,0.05,25,CE,NFO-OPT,NFO
22,11284994,44082,BANKNIFTY2362242900CE,BANKNIFTY,0.0,2023-06-22,42900.0,0.05,25,CE,NFO-OPT,NFO
23,11285506,44084,BANKNIFTY2362243000CE,BANKNIFTY,0.0,2023-06-22,43000.0,0.05,25,CE,NFO-OPT,NFO
24,11286018,44086,BANKNIFTY2362243100CE,BANKNIFTY,0.0,2023-06-22,43100.0,0.05,25,CE,NFO-OPT,NFO
25,11286530,44088,BANKNIFTY2362243200CE,BANKNIFTY,0.0,2023-06-22,43200.0,0.05,25,CE,NFO-OPT,NFO
26,11287042,44090,BANKNIFTY2362243300CE,BANKNIFTY,0.0,2023-06-22,43300.0,0.05,25,CE,NFO-OPT,NFO
27,11287554,44092,BANKNIFTY2362243400CE,BANKNIFTY,0.0,2023-06-22,43400.0,0.05,25,CE,NFO-OPT,NFO
28,11289090,44098,BANKNIFTY2362243500CE,BANKNIFTY,0.0,2023-06-22,43500.0,0.05,25,CE,NFO-OPT,NFO
29,11289858,44101,BANKNIFTY2362243600CE,BANKNIFTY,0.0,2023-06-22,43600.0,0.05,25,CE,NFO-OPT,NFO
30,11292418,44111,BANKNIFTY2362243700CE,BANKNIFTY,0.0,2023-06-22,43700.0,0.05,25,CE,NFO-OPT,NFO
31,11294978,44121,BANKNIFTY2362243800CE,BANKNIFTY,0.0,2023-06-22,43800.0,0.05,25,CE,NFO-OPT,NFO
32,11297026,44129,BANKNIFTY2362243900CE,BANKNIFTY,0.0,2023-06-22,43900.0,0.05,25,CE,NFO-OPT,NFO
33,11297538,44131,BANKNIFTY2362244000CE,BANKNIFTY,0.0,2023-06-22,44000.0,0.05,25,CE,NFO-OPT,NFO
34,11298050,44133,BANKNIFTY2362244100CE,BANKNIFTY,0.0,2023-06-22,44100.0,0.05,25,CE,NFO-OPT,NFO
35,11298562,44135,BANKNIFTY2362244200CE,BANKNIFTY,0.0,2023-06-22,44200.0,0.05,25,CE,NFO-OPT,NFO
36,11299074,44137,BANKNIFTY2362244300CE,BANKNIFTY,0.0,2023-06-22,44300.0,0.05,25,CE,NFO-OPT,NFO
37,11299586,44139,BANKNIFTY2362244400CE,BANKNIFTY,0.0,2023-06-22,44400.0,0.05,25,CE,NFO-OPT,NFO
38,11300098,44141,BANKNIFTY2362244500CE,BANKNIFTY,0.0,2023-06-22,44500.0,0.05,25,CE,NFO-OPT,NFO
39,11300610,44143,BANKNIFTY2362244600CE,BANKNIFTY,0.0,2023-06-22,44600.0,0.05,25,CE,NFO-OPT,NFO
40,11301122,44145,BANKNIFTY2362244700CE,BANKNIFTY,0.0,2023-06-22,44700.0,0.05,25,CE,NFO-OPT,NFO
41,11303682,44155,BANKNIFTY2362244800CE,BANKNIFTY,0.0,2023-06-22,44800.0,0.05,25,CE,NFO-OPT,NFO
42,11304194,44157,BANKNIFTY2362244900CE,BANKNIFTY,0.0,2023-06-22,44900.0,0.05,25,CE,NFO-OPT,NFO
43,11304706,44159,BANKNIFTY2362245000CE,BANKNIFTY,0.0,2023-06-22,45000.0,0.05,25,CE,NFO-OPT,NFO
44,11305218,44161,BANKNIFTY2362245100CE,BANKNIFTY,0.0,2023-06-22,45100.0,0.05,25,CE,NFO-OPT,NFO
45,11305730,44163,BANKNIFTY2362245200CE,BANKNIFTY,0.0,2023-06-22,45200.0,0.05,25,CE,NFO-OPT,NFO
46,11306242,44165,BANKNIFTY2362245300CE,BANKNIFTY,0.0,2023-06-22,45300.0,0.05,25,CE,NFO-OPT,NFO
47,11306754,44167,BANKNIFTY2362245400CE,BANKNIFTY,0.0,2023-06-22,45400.0,0.05,25,CE,NFO-OPT,NFO
48,11307266,44169,BANKNIFTY2362245500CE,BANKNIFTY,0.0,2023-06-22,45500.0,0.05,25,CE,NFO-OPT,NFO
49,11309826,44179,BANKNIFTY2362245600CE,BANKNIFTY,0.0,2023-06-22,45600.0,0.05,25,CE,NFO-OPT,NFO
50,11310338,44181,BANKNIFTY2362245700CE,BANKNIFTY,0.0,2023-06-22,45700.0,0.05,25,CE,NFO-OPT,NFO
51,11310850,44183,BANKNIFTY2362245800CE,BANKNIFTY,0.0,2023-06-22,45800.0,0.05,25,CE,NFO-OPT,NFO
52,11311362,44185,BANKNIFTY2362245900CE,BANKNIFTY,0.0,2023-06-22,45900.0,0.05,25,CE,NFO-OPT,NFO
53,11311874,44187,BANKNIFTY2362246000CE,BANKNIFTY,0.0,2023-06-22,46000.0,0.05,25,CE,NFO-OPT,NFO
54,11312386,44189,BANKNIFTY2362246100CE,BANKNIFTY,0.0,2023-06-22,46100.0,0.05,25,CE,NFO-OPT,NFO
55,11313410,44193,BANKNIFTY2362246200CE,BANKNIFTY,0.0,2023-06-22,46200.0,0.05,25,CE,NFO-OPT,NFO
56,11313922,44195,BANKNIFTY2362246300CE,BANKNIFTY,0.0,2023-06-22,46300.0,0.05,25,CE,NFO-OPT,NFO
57,11314434,44197,BANKNIFTY2362246400CE,BANKNIFTY,0.0,2023-06-22,46400.0,0.05,25,CE,NFO-OPT,NFO
58,11314946,44199,BANKNIFTY2362246500CE,BANKNIFTY,0.0,2023-06-22,46500.0,0.05,25,CE,NFO-OPT,NFO
59,11315458,44201,BANKNIFTY2362246600CE,BANKNIFTY,0.0,2023-06-22,46600.0,0.05,25,CE,NFO-OPT,NFO
60,11315970,44203,BANKNIFTY2362246700CE,BANKNIFTY,0.0,2023-06-22,46700.0,0.05,25,CE,NFO-OPT,NFO
61,11316482,44205,BANKNIFTY2362246800CE,BANKNIFTY,0.0,2023-06-22,46800.0,0.05,25,CE,NFO-OPT,NFO
62,11316994,44207,BANKNIFTY2362246900CE,BANKNIFTY,0.0,2023-06-22,46900.0,0.05,25,CE,NFO-OPT,NFO
63,11317506,44209,BANKNIFTY2362247000CE,BANKNIFTY,0.0,2023-06-22,47000.0,0.05,25,CE,NFO-OPT,NFO
64,11320066,44219,BANKNIFTY2362247500CE,BANKNIFTY,0.0,2023-06-22,47500.0,0.05,25,CE,NFO-OPT,NFO
65,11323138,44231,BANKNIFTY2362248000CE,BANKNIFTY,0.0,2023-06-22,48000.0,0.05,25,CE,NFO-OPT,NFO
