,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,15730690,61448,NIFTY23AUG17500PE,NIFTY,0.0,2023-08-31,17500.0,0.05,50,PE,NFO-OPT,NFO
1,15732738,61456,NIFTY23AUG17600PE,NIFTY,0.0,2023-08-31,17600.0,0.05,50,PE,NFO-OPT,NFO
2,15734018,61461,NIFTY23AUG17700PE,NIFTY,0.0,2023-08-31,17700.0,0.05,50,PE,NFO-OPT,NFO
3,15736578,61471,NIFTY23AUG17800PE,NIFTY,0.0,2023-08-31,17800.0,0.05,50,PE,NFO-OPT,NFO
4,15738882,61480,NIFTY23AUG17900PE,NIFTY,0.0,2023-08-31,17900.0,0.05,50,PE,NFO-OPT,NFO
5,15739906,61484,NIFTY23AUG18000PE,NIFTY,0.0,2023-08-31,18000.0,0.05,50,PE,NFO-OPT,NFO
6,15740930,61488,NIFTY23AUG18100PE,NIFTY,0.0,2023-08-31,18100.0,0.05,50,PE,NFO-OPT,NFO
7,15741954,61492,NIFTY23AUG18200PE,NIFTY,0.0,2023-08-31,18200.0,0.05,50,PE,NFO-OPT,NFO
8,15742978,61496,NIFTY23AUG18300PE,NIFTY,0.0,2023-08-31,18300.0,0.05,50,PE,NFO-OPT,NFO
9,15744002,61500,NIFTY23AUG18400PE,NIFTY,0.0,2023-08-31,18400.0,0.05,50,PE,NFO-OPT,NFO
10,15745026,61504,NIFTY23AUG18500PE,NIFTY,0.0,2023-08-31,18500.0,0.05,50,PE,NFO-OPT,NFO
11,15746050,61508,NIFTY23AUG18600PE,NIFTY,0.0,2023-08-31,18600.0,0.05,50,PE,NFO-OPT,NFO
12,15747074,61512,NIFTY23AUG18700PE,NIFTY,0.0,2023-08-31,18700.0,0.05,50,PE,NFO-OPT,NFO
13,15749122,61520,NIFTY23AUG18800PE,NIFTY,0.0,2023-08-31,18800.0,0.05,50,PE,NFO-OPT,NFO
14,15750658,61526,NIFTY23AUG18900PE,NIFTY,0.0,2023-08-31,18900.0,0.05,50,PE,NFO-OPT,NFO
15,15752194,61532,NIFTY23AUG19000PE,NIFTY,0.0,2023-08-31,19000.0,0.05,50,PE,NFO-OPT,NFO
16,15753730,61538,NIFTY23AUG19100PE,NIFTY,0.0,2023-08-31,19100.0,0.05,50,PE,NFO-OPT,NFO
17,15754754,61542,NIFTY23AUG19200PE,NIFTY,0.0,2023-08-31,19200.0,0.05,50,PE,NFO-OPT,NFO
18,15756034,61547,NIFTY23AUG19300PE,NIFTY,0.0,2023-08-31,19300.0,0.05,50,PE,NFO-OPT,NFO
19,15757058,61551,NIFTY23AUG19400PE,NIFTY,0.0,2023-08-31,19400.0,0.05,50,PE,NFO-OPT,NFO
20,15758082,61555,NIFTY23AUG19500PE,NIFTY,0.0,2023-08-31,19500.0,0.05,50,PE,NFO-OPT,NFO
21,15759106,61559,NIFTY23AUG19600PE,NIFTY,0.0,2023-08-31,19600.0,0.05,50,PE,NFO-OPT,NFO
22,15760130,61563,NIFTY23AUG19700PE,NIFTY,0.0,2023-08-31,19700.0,0.05,50,PE,NFO-OPT,NFO
23,15761154,61567,NIFTY23AUG19800PE,NIFTY,0.0,2023-08-31,19800.0,0.05,50,PE,NFO-OPT,NFO
24,15762178,61571,NIFTY23AUG19900PE,NIFTY,0.0,2023-08-31,19900.0,0.05,50,PE,NFO-OPT,NFO
25,15763202,61575,NIFTY23AUG20000PE,NIFTY,0.0,2023-08-31,20000.0,0.05,50,PE,NFO-OPT,NFO
26,15764226,61579,NIFTY23AUG20100PE,NIFTY,0.0,2023-08-31,20100.0,0.05,50,PE,NFO-OPT,NFO
27,15765250,61583,NIFTY23AUG20200PE,NIFTY,0.0,2023-08-31,20200.0,0.05,50,PE,NFO-OPT,NFO
28,15766274,61587,NIFTY23AUG20300PE,NIFTY,0.0,2023-08-31,20300.0,0.05,50,PE,NFO-OPT,NFO
29,15767298,61591,NIFTY23AUG20400PE,NIFTY,0.0,2023-08-31,20400.0,0.05,50,PE,NFO-OPT,NFO
30,15768322,61595,NIFTY23AUG20500PE,NIFTY,0.0,2023-08-31,20500.0,0.05,50,PE,NFO-OPT,NFO
31,15769346,61599,NIFTY23AUG20600PE,NIFTY,0.0,2023-08-31,20600.0,0.05,50,PE,NFO-OPT,NFO
32,15770370,61603,NIFTY23AUG20700PE,NIFTY,0.0,2023-08-31,20700.0,0.05,50,PE,NFO-OPT,NFO
33,15771394,61607,NIFTY23AUG20800PE,NIFTY,0.0,2023-08-31,20800.0,0.05,50,PE,NFO-OPT,NFO
34,15772418,61611,NIFTY23AUG20900PE,NIFTY,0.0,2023-08-31,20900.0,0.05,50,PE,NFO-OPT,NFO
35,15901186,62114,NIFTY23AUG21000PE,NIFTY,0.0,2023-08-31,21000.0,0.05,50,PE,NFO-OPT,NFO
