,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,12421634,48522,BANKNIFTY23AUG40000CE,BANKNIFTY,0.0,2023-08-31,40000.0,0.05,15,CE,NFO-OPT,NFO
1,12425730,48538,BANKNIFTY23AUG40500CE,BANKNIFTY,0.0,2023-08-31,40500.0,0.05,15,CE,NFO-OPT,NFO
2,15031042,58715,BANKNIFTY23AUG41000CE,BANKNIFTY,0.0,2023-08-31,41000.0,0.05,15,CE,NFO-OPT,NFO
3,15467266,60419,BANKNIFTY23AUG41200CE,BANKNIFTY,0.0,2023-08-31,41200.0,0.05,15,CE,NFO-OPT,NFO
4,15467778,60421,BANKNIFTY23AUG41300CE,BANKNIFTY,0.0,2023-08-31,41300.0,0.05,15,CE,NFO-OPT,NFO
5,15468290,60423,BANKNIFTY23AUG41400CE,BANKNIFTY,0.0,2023-08-31,41400.0,0.05,15,CE,NFO-OPT,NFO
6,15468802,60425,BANKNIFTY23AUG41500CE,BANKNIFTY,0.0,2023-08-31,41500.0,0.05,15,CE,NFO-OPT,NFO
7,15469314,60427,BANKNIFTY23AUG41600CE,BANKNIFTY,0.0,2023-08-31,41600.0,0.05,15,CE,NFO-OPT,NFO
8,15469826,60429,BANKNIFTY23AUG41700CE,BANKNIFTY,0.0,2023-08-31,41700.0,0.05,15,CE,NFO-OPT,NFO
9,15470338,60431,BANKNIFTY23AUG41800CE,BANKNIFTY,0.0,2023-08-31,41800.0,0.05,15,CE,NFO-OPT,NFO
10,15470850,60433,BANKNIFTY23AUG41900CE,BANKNIFTY,0.0,2023-08-31,41900.0,0.05,15,CE,NFO-OPT,NFO
11,15471362,60435,BANKNIFTY23AUG42000CE,BANKNIFTY,0.0,2023-08-31,42000.0,0.05,15,CE,NFO-OPT,NFO
12,15471874,60437,BANKNIFTY23AUG42100CE,BANKNIFTY,0.0,2023-08-31,42100.0,0.05,15,CE,NFO-OPT,NFO
13,15472386,60439,BANKNIFTY23AUG42200CE,BANKNIFTY,0.0,2023-08-31,42200.0,0.05,15,CE,NFO-OPT,NFO
14,15472898,60441,BANKNIFTY23AUG42300CE,BANKNIFTY,0.0,2023-08-31,42300.0,0.05,15,CE,NFO-OPT,NFO
15,15473410,60443,BANKNIFTY23AUG42400CE,BANKNIFTY,0.0,2023-08-31,42400.0,0.05,15,CE,NFO-OPT,NFO
16,15473922,60445,BANKNIFTY23AUG42500CE,BANKNIFTY,0.0,2023-08-31,42500.0,0.05,15,CE,NFO-OPT,NFO
17,15474434,60447,BANKNIFTY23AUG42600CE,BANKNIFTY,0.0,2023-08-31,42600.0,0.05,15,CE,NFO-OPT,NFO
18,15474946,60449,BANKNIFTY23AUG42700CE,BANKNIFTY,0.0,2023-08-31,42700.0,0.05,15,CE,NFO-OPT,NFO
19,15475458,60451,BANKNIFTY23AUG42800CE,BANKNIFTY,0.0,2023-08-31,42800.0,0.05,15,CE,NFO-OPT,NFO
20,15475970,60453,BANKNIFTY23AUG42900CE,BANKNIFTY,0.0,2023-08-31,42900.0,0.05,15,CE,NFO-OPT,NFO
21,15476482,60455,BANKNIFTY23AUG43000CE,BANKNIFTY,0.0,2023-08-31,43000.0,0.05,15,CE,NFO-OPT,NFO
22,15476994,60457,BANKNIFTY23AUG43100CE,BANKNIFTY,0.0,2023-08-31,43100.0,0.05,15,CE,NFO-OPT,NFO
23,15477506,60459,BANKNIFTY23AUG43200CE,BANKNIFTY,0.0,2023-08-31,43200.0,0.05,15,CE,NFO-OPT,NFO
24,15478018,60461,BANKNIFTY23AUG43300CE,BANKNIFTY,0.0,2023-08-31,43300.0,0.05,15,CE,NFO-OPT,NFO
25,15478530,60463,BANKNIFTY23AUG43400CE,BANKNIFTY,0.0,2023-08-31,43400.0,0.05,15,CE,NFO-OPT,NFO
26,15479042,60465,BANKNIFTY23AUG43500CE,BANKNIFTY,0.0,2023-08-31,43500.0,0.05,15,CE,NFO-OPT,NFO
27,15479554,60467,BANKNIFTY23AUG43600CE,BANKNIFTY,0.0,2023-08-31,43600.0,0.05,15,CE,NFO-OPT,NFO
28,15480066,60469,BANKNIFTY23AUG43700CE,BANKNIFTY,0.0,2023-08-31,43700.0,0.05,15,CE,NFO-OPT,NFO
29,15480578,60471,BANKNIFTY23AUG43800CE,BANKNIFTY,0.0,2023-08-31,43800.0,0.05,15,CE,NFO-OPT,NFO
30,15481090,60473,BANKNIFTY23AUG43900CE,BANKNIFTY,0.0,2023-08-31,43900.0,0.05,15,CE,NFO-OPT,NFO
31,15481602,60475,BANKNIFTY23AUG44000CE,BANKNIFTY,0.0,2023-08-31,44000.0,0.05,15,CE,NFO-OPT,NFO
32,15482114,60477,BANKNIFTY23AUG44100CE,BANKNIFTY,0.0,2023-08-31,44100.0,0.05,15,CE,NFO-OPT,NFO
33,15482626,60479,BANKNIFTY23AUG44200CE,BANKNIFTY,0.0,2023-08-31,44200.0,0.05,15,CE,NFO-OPT,NFO
