,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14267138,55731,NIFTY23JAN16400CE,NIFTY,0.0,2023-01-25,16400.0,0.05,50,CE,NFO-OPT,NFO
1,14267650,55733,NIFTY23JAN16450CE,NIFTY,0.0,2023-01-25,16450.0,0.05,50,CE,NFO-OPT,NFO
2,14272258,55751,NIFTY23JAN16500CE,NIFTY,0.0,2023-01-25,16500.0,0.05,50,CE,NFO-OPT,NFO
3,14272770,55753,NIFTY23JAN16550CE,NIFTY,0.0,2023-01-25,16550.0,0.05,50,CE,NFO-OPT,NFO
4,14273282,55755,NIFTY23JAN16600CE,NIFTY,0.0,2023-01-25,16600.0,0.05,50,CE,NFO-OPT,NFO
5,14273794,55757,NIFTY23JAN16650CE,NIFTY,0.0,2023-01-25,16650.0,0.05,50,CE,NFO-OPT,NFO
6,14274306,55759,NIFTY23JAN16700CE,NIFTY,0.0,2023-01-25,16700.0,0.05,50,CE,NFO-OPT,NFO
7,14274818,55761,NIFTY23JAN16750CE,NIFTY,0.0,2023-01-25,16750.0,0.05,50,CE,NFO-OPT,NFO
8,14278914,55777,NIFTY23JAN16800CE,NIFTY,0.0,2023-01-25,16800.0,0.05,50,CE,NFO-OPT,NFO
9,14280450,55783,NIFTY23JAN16850CE,NIFTY,0.0,2023-01-25,16850.0,0.05,50,CE,NFO-OPT,NFO
10,14281986,55789,NIFTY23JAN16900CE,NIFTY,0.0,2023-01-25,16900.0,0.05,50,CE,NFO-OPT,NFO
11,14282498,55791,NIFTY23JAN16950CE,NIFTY,0.0,2023-01-25,16950.0,0.05,50,CE,NFO-OPT,NFO
12,14283522,55795,NIFTY23JAN17000CE,NIFTY,0.0,2023-01-25,17000.0,0.05,50,CE,NFO-OPT,NFO
13,14284034,55797,NIFTY23JAN17050CE,NIFTY,0.0,2023-01-25,17050.0,0.05,50,CE,NFO-OPT,NFO
14,14285058,55801,NIFTY23JAN17100CE,NIFTY,0.0,2023-01-25,17100.0,0.05,50,CE,NFO-OPT,NFO
15,14286082,55805,NIFTY23JAN17150CE,NIFTY,0.0,2023-01-25,17150.0,0.05,50,CE,NFO-OPT,NFO
16,14286594,55807,NIFTY23JAN17200CE,NIFTY,0.0,2023-01-25,17200.0,0.05,50,CE,NFO-OPT,NFO
17,14288642,55815,NIFTY23JAN17250CE,NIFTY,0.0,2023-01-25,17250.0,0.05,50,CE,NFO-OPT,NFO
18,14290178,55821,NIFTY23JAN17300CE,NIFTY,0.0,2023-01-25,17300.0,0.05,50,CE,NFO-OPT,NFO
19,14291714,55827,NIFTY23JAN17350CE,NIFTY,0.0,2023-01-25,17350.0,0.05,50,CE,NFO-OPT,NFO
20,14292738,55831,NIFTY23JAN17400CE,NIFTY,0.0,2023-01-25,17400.0,0.05,50,CE,NFO-OPT,NFO
21,14295810,55843,NIFTY23JAN17450CE,NIFTY,0.0,2023-01-25,17450.0,0.05,50,CE,NFO-OPT,NFO
22,14296322,55845,NIFTY23JAN17500CE,NIFTY,0.0,2023-01-25,17500.0,0.05,50,CE,NFO-OPT,NFO
23,14296834,55847,NIFTY23JAN17550CE,NIFTY,0.0,2023-01-25,17550.0,0.05,50,CE,NFO-OPT,NFO
24,14300930,55863,NIFTY23JAN17600CE,NIFTY,0.0,2023-01-25,17600.0,0.05,50,CE,NFO-OPT,NFO
25,14301442,55865,NIFTY23JAN17650CE,NIFTY,0.0,2023-01-25,17650.0,0.05,50,CE,NFO-OPT,NFO
26,14301954,55867,NIFTY23JAN17700CE,NIFTY,0.0,2023-01-25,17700.0,0.05,50,CE,NFO-OPT,NFO
27,14302466,55869,NIFTY23JAN17750CE,NIFTY,0.0,2023-01-25,17750.0,0.05,50,CE,NFO-OPT,NFO
28,14305794,55882,NIFTY23JAN17800CE,NIFTY,0.0,2023-01-25,17800.0,0.05,50,CE,NFO-OPT,NFO
29,14307330,55888,NIFTY23JAN17850CE,NIFTY,0.0,2023-01-25,17850.0,0.05,50,CE,NFO-OPT,NFO
30,14307842,55890,NIFTY23JAN17900CE,NIFTY,0.0,2023-01-25,17900.0,0.05,50,CE,NFO-OPT,NFO
31,14308354,55892,NIFTY23JAN17950CE,NIFTY,0.0,2023-01-25,17950.0,0.05,50,CE,NFO-OPT,NFO
32,14308866,55894,NIFTY23JAN18000CE,NIFTY,0.0,2023-01-25,18000.0,0.05,50,CE,NFO-OPT,NFO
33,14309378,55896,NIFTY23JAN18050CE,NIFTY,0.0,2023-01-25,18050.0,0.05,50,CE,NFO-OPT,NFO
34,14309890,55898,NIFTY23JAN18100CE,NIFTY,0.0,2023-01-25,18100.0,0.05,50,CE,NFO-OPT,NFO
35,14310402,55900,NIFTY23JAN18150CE,NIFTY,0.0,2023-01-25,18150.0,0.05,50,CE,NFO-OPT,NFO
36,14310914,55902,NIFTY23JAN18200CE,NIFTY,0.0,2023-01-25,18200.0,0.05,50,CE,NFO-OPT,NFO
37,14311426,55904,NIFTY23JAN18250CE,NIFTY,0.0,2023-01-25,18250.0,0.05,50,CE,NFO-OPT,NFO
38,14311938,55906,NIFTY23JAN18300CE,NIFTY,0.0,2023-01-25,18300.0,0.05,50,CE,NFO-OPT,NFO
39,14312962,55910,NIFTY23JAN18350CE,NIFTY,0.0,2023-01-25,18350.0,0.05,50,CE,NFO-OPT,NFO
40,14313474,55912,NIFTY23JAN18400CE,NIFTY,0.0,2023-01-25,18400.0,0.05,50,CE,NFO-OPT,NFO
41,14313986,55914,NIFTY23JAN18450CE,NIFTY,0.0,2023-01-25,18450.0,0.05,50,CE,NFO-OPT,NFO
42,14314498,55916,NIFTY23JAN18500CE,NIFTY,0.0,2023-01-25,18500.0,0.05,50,CE,NFO-OPT,NFO
43,14315010,55918,NIFTY23JAN18550CE,NIFTY,0.0,2023-01-25,18550.0,0.05,50,CE,NFO-OPT,NFO
44,14315522,55920,NIFTY23JAN18600CE,NIFTY,0.0,2023-01-25,18600.0,0.05,50,CE,NFO-OPT,NFO
45,14316034,55922,NIFTY23JAN18650CE,NIFTY,0.0,2023-01-25,18650.0,0.05,50,CE,NFO-OPT,NFO
46,14316546,55924,NIFTY23JAN18700CE,NIFTY,0.0,2023-01-25,18700.0,0.05,50,CE,NFO-OPT,NFO
47,14317058,55926,NIFTY23JAN18750CE,NIFTY,0.0,2023-01-25,18750.0,0.05,50,CE,NFO-OPT,NFO
48,14317570,55928,NIFTY23JAN18800CE,NIFTY,0.0,2023-01-25,18800.0,0.05,50,CE,NFO-OPT,NFO
49,14318338,55931,NIFTY23JAN18850CE,NIFTY,0.0,2023-01-25,18850.0,0.05,50,CE,NFO-OPT,NFO
50,14323202,55950,NIFTY23JAN18900CE,NIFTY,0.0,2023-01-25,18900.0,0.05,50,CE,NFO-OPT,NFO
51,14323714,55952,NIFTY23JAN18950CE,NIFTY,0.0,2023-01-25,18950.0,0.05,50,CE,NFO-OPT,NFO
52,14324738,55956,NIFTY23JAN19000CE,NIFTY,0.0,2023-01-25,19000.0,0.05,50,CE,NFO-OPT,NFO
53,14325762,55960,NIFTY23JAN19050CE,NIFTY,0.0,2023-01-25,19050.0,0.05,50,CE,NFO-OPT,NFO
54,14326274,55962,NIFTY23JAN19100CE,NIFTY,0.0,2023-01-25,19100.0,0.05,50,CE,NFO-OPT,NFO
55,14326786,55964,NIFTY23JAN19150CE,NIFTY,0.0,2023-01-25,19150.0,0.05,50,CE,NFO-OPT,NFO
56,14327298,55966,NIFTY23JAN19200CE,NIFTY,0.0,2023-01-25,19200.0,0.05,50,CE,NFO-OPT,NFO
57,14327810,55968,NIFTY23JAN19250CE,NIFTY,0.0,2023-01-25,19250.0,0.05,50,CE,NFO-OPT,NFO
58,14328322,55970,NIFTY23JAN19300CE,NIFTY,0.0,2023-01-25,19300.0,0.05,50,CE,NFO-OPT,NFO
59,14328834,55972,NIFTY23JAN19350CE,NIFTY,0.0,2023-01-25,19350.0,0.05,50,CE,NFO-OPT,NFO
60,14329858,55976,NIFTY23JAN19400CE,NIFTY,0.0,2023-01-25,19400.0,0.05,50,CE,NFO-OPT,NFO
61,14331138,55981,NIFTY23JAN19450CE,NIFTY,0.0,2023-01-25,19450.0,0.05,50,CE,NFO-OPT,NFO
62,14331650,55983,NIFTY23JAN19500CE,NIFTY,0.0,2023-01-25,19500.0,0.05,50,CE,NFO-OPT,NFO
63,14332674,55987,NIFTY23JAN19550CE,NIFTY,0.0,2023-01-25,19550.0,0.05,50,CE,NFO-OPT,NFO
64,14333442,55990,NIFTY23JAN19600CE,NIFTY,0.0,2023-01-25,19600.0,0.05,50,CE,NFO-OPT,NFO
65,14334978,55996,NIFTY23JAN19650CE,NIFTY,0.0,2023-01-25,19650.0,0.05,50,CE,NFO-OPT,NFO
66,14335490,55998,NIFTY23JAN19700CE,NIFTY,0.0,2023-01-25,19700.0,0.05,50,CE,NFO-OPT,NFO
67,14336002,56000,NIFTY23JAN19750CE,NIFTY,0.0,2023-01-25,19750.0,0.05,50,CE,NFO-OPT,NFO
68,14336514,56002,NIFTY23JAN19800CE,NIFTY,0.0,2023-01-25,19800.0,0.05,50,CE,NFO-OPT,NFO
69,14337026,56004,NIFTY23JAN19850CE,NIFTY,0.0,2023-01-25,19850.0,0.05,50,CE,NFO-OPT,NFO
70,14337538,56006,NIFTY23JAN19900CE,NIFTY,0.0,2023-01-25,19900.0,0.05,50,CE,NFO-OPT,NFO
71,14338050,56008,NIFTY23JAN19950CE,NIFTY,0.0,2023-01-25,19950.0,0.05,50,CE,NFO-OPT,NFO
72,14338562,56010,NIFTY23JAN20000CE,NIFTY,0.0,2023-01-25,20000.0,0.05,50,CE,NFO-OPT,NFO
