,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,10167810,39718,BANKNIFTY2351139000CE,BANKNIFTY,0.0,2023-05-11,39000.0,0.05,25,CE,NFO-OPT,NFO
1,10168322,39720,BANKNIFTY2351139100CE,BANKNIFTY,0.0,2023-05-11,39100.0,0.05,25,CE,NFO-OPT,NFO
2,10168834,39722,BANKNIFTY2351139200CE,BANKNIFTY,0.0,2023-05-11,39200.0,0.05,25,CE,NFO-OPT,NFO
3,10169346,39724,BANKNIFTY2351139300CE,BANKNIFTY,0.0,2023-05-11,39300.0,0.05,25,CE,NFO-OPT,NFO
4,10169858,39726,BANKNIFTY2351139400CE,BANKNIFTY,0.0,2023-05-11,39400.0,0.05,25,CE,NFO-OPT,NFO
5,10170370,39728,BANKNIFTY2351139500CE,BANKNIFTY,0.0,2023-05-11,39500.0,0.05,25,CE,NFO-OPT,NFO
6,10170882,39730,BANKNIFTY2351139600CE,BANKNIFTY,0.0,2023-05-11,39600.0,0.05,25,CE,NFO-OPT,NFO
7,10171394,39732,BANKNIFTY2351139700CE,BANKNIFTY,0.0,2023-05-11,39700.0,0.05,25,CE,NFO-OPT,NFO
8,10171906,39734,BANKNIFTY2351139800CE,BANKNIFTY,0.0,2023-05-11,39800.0,0.05,25,CE,NFO-OPT,NFO
9,10172418,39736,BANKNIFTY2351139900CE,BANKNIFTY,0.0,2023-05-11,39900.0,0.05,25,CE,NFO-OPT,NFO
10,10172930,39738,BANKNIFTY2351140000CE,BANKNIFTY,0.0,2023-05-11,40000.0,0.05,25,CE,NFO-OPT,NFO
11,10173442,39740,BANKNIFTY2351140100CE,BANKNIFTY,0.0,2023-05-11,40100.0,0.05,25,CE,NFO-OPT,NFO
12,10173954,39742,BANKNIFTY2351140200CE,BANKNIFTY,0.0,2023-05-11,40200.0,0.05,25,CE,NFO-OPT,NFO
13,10174722,39745,BANKNIFTY2351140300CE,BANKNIFTY,0.0,2023-05-11,40300.0,0.05,25,CE,NFO-OPT,NFO
14,10175490,39748,BANKNIFTY2351140400CE,BANKNIFTY,0.0,2023-05-11,40400.0,0.05,25,CE,NFO-OPT,NFO
15,10176002,39750,BANKNIFTY2351140500CE,BANKNIFTY,0.0,2023-05-11,40500.0,0.05,25,CE,NFO-OPT,NFO
16,10176514,39752,BANKNIFTY2351140600CE,BANKNIFTY,0.0,2023-05-11,40600.0,0.05,25,CE,NFO-OPT,NFO
17,10177282,39755,BANKNIFTY2351140700CE,BANKNIFTY,0.0,2023-05-11,40700.0,0.05,25,CE,NFO-OPT,NFO
18,10180098,39766,BANKNIFTY2351140800CE,BANKNIFTY,0.0,2023-05-11,40800.0,0.05,25,CE,NFO-OPT,NFO
19,10180866,39769,BANKNIFTY2351140900CE,BANKNIFTY,0.0,2023-05-11,40900.0,0.05,25,CE,NFO-OPT,NFO
20,10181634,39772,BANKNIFTY2351141000CE,BANKNIFTY,0.0,2023-05-11,41000.0,0.05,25,CE,NFO-OPT,NFO
21,10184962,39785,BANKNIFTY2351141100CE,BANKNIFTY,0.0,2023-05-11,41100.0,0.05,25,CE,NFO-OPT,NFO
22,10186754,39792,BANKNIFTY2351141200CE,BANKNIFTY,0.0,2023-05-11,41200.0,0.05,25,CE,NFO-OPT,NFO
23,10187778,39796,BANKNIFTY2351141300CE,BANKNIFTY,0.0,2023-05-11,41300.0,0.05,25,CE,NFO-OPT,NFO
24,10188802,39800,BANKNIFTY2351141400CE,BANKNIFTY,0.0,2023-05-11,41400.0,0.05,25,CE,NFO-OPT,NFO
25,10189314,39802,BANKNIFTY2351141500CE,BANKNIFTY,0.0,2023-05-11,41500.0,0.05,25,CE,NFO-OPT,NFO
26,10189826,39804,BANKNIFTY2351141600CE,BANKNIFTY,0.0,2023-05-11,41600.0,0.05,25,CE,NFO-OPT,NFO
27,10191618,39811,BANKNIFTY2351141700CE,BANKNIFTY,0.0,2023-05-11,41700.0,0.05,25,CE,NFO-OPT,NFO
28,10192130,39813,BANKNIFTY2351141800CE,BANKNIFTY,0.0,2023-05-11,41800.0,0.05,25,CE,NFO-OPT,NFO
29,10193154,39817,BANKNIFTY2351141900CE,BANKNIFTY,0.0,2023-05-11,41900.0,0.05,25,CE,NFO-OPT,NFO
30,10195458,39826,BANKNIFTY2351142000CE,BANKNIFTY,0.0,2023-05-11,42000.0,0.05,25,CE,NFO-OPT,NFO
31,10195970,39828,BANKNIFTY2351142100CE,BANKNIFTY,0.0,2023-05-11,42100.0,0.05,25,CE,NFO-OPT,NFO
32,10197506,39834,BANKNIFTY2351142200CE,BANKNIFTY,0.0,2023-05-11,42200.0,0.05,25,CE,NFO-OPT,NFO
33,10198018,39836,BANKNIFTY2351142300CE,BANKNIFTY,0.0,2023-05-11,42300.0,0.05,25,CE,NFO-OPT,NFO
34,10198530,39838,BANKNIFTY2351142400CE,BANKNIFTY,0.0,2023-05-11,42400.0,0.05,25,CE,NFO-OPT,NFO
35,10199042,39840,BANKNIFTY2351142500CE,BANKNIFTY,0.0,2023-05-11,42500.0,0.05,25,CE,NFO-OPT,NFO
36,10206210,39868,BANKNIFTY2351142600CE,BANKNIFTY,0.0,2023-05-11,42600.0,0.05,25,CE,NFO-OPT,NFO
37,10206722,39870,BANKNIFTY2351142700CE,BANKNIFTY,0.0,2023-05-11,42700.0,0.05,25,CE,NFO-OPT,NFO
38,10207234,39872,BANKNIFTY2351142800CE,BANKNIFTY,0.0,2023-05-11,42800.0,0.05,25,CE,NFO-OPT,NFO
