,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,13219842,51640,NIFTY2311916400PE,NIFTY,0.0,2023-01-19,16400.0,0.05,50,PE,NFO-OPT,NFO
1,13220354,51642,NIFTY2311916450PE,NIFTY,0.0,2023-01-19,16450.0,0.05,50,PE,NFO-OPT,NFO
2,13220866,51644,NIFTY2311916500PE,NIFTY,0.0,2023-01-19,16500.0,0.05,50,PE,NFO-OPT,NFO
3,13221378,51646,NIFTY2311916550PE,NIFTY,0.0,2023-01-19,16550.0,0.05,50,PE,NFO-OPT,NFO
4,13224450,51658,NIFTY2311916600PE,NIFTY,0.0,2023-01-19,16600.0,0.05,50,PE,NFO-OPT,NFO
5,13224962,51660,NIFTY2311916650PE,NIFTY,0.0,2023-01-19,16650.0,0.05,50,PE,NFO-OPT,NFO
6,13225474,51662,NIFTY2311916700PE,NIFTY,0.0,2023-01-19,16700.0,0.05,50,PE,NFO-OPT,NFO
7,13225986,51664,NIFTY2311916750PE,NIFTY,0.0,2023-01-19,16750.0,0.05,50,PE,NFO-OPT,NFO
8,13226498,51666,NIFTY2311916800PE,NIFTY,0.0,2023-01-19,16800.0,0.05,50,PE,NFO-OPT,NFO
9,13227010,51668,NIFTY2311916850PE,NIFTY,0.0,2023-01-19,16850.0,0.05,50,PE,NFO-OPT,NFO
10,13227522,51670,NIFTY2311916900PE,NIFTY,0.0,2023-01-19,16900.0,0.05,50,PE,NFO-OPT,NFO
11,13228034,51672,NIFTY2311916950PE,NIFTY,0.0,2023-01-19,16950.0,0.05,50,PE,NFO-OPT,NFO
12,13228546,51674,NIFTY2311917000PE,NIFTY,0.0,2023-01-19,17000.0,0.05,50,PE,NFO-OPT,NFO
13,13230082,51680,NIFTY2311917050PE,NIFTY,0.0,2023-01-19,17050.0,0.05,50,PE,NFO-OPT,NFO
14,13230594,51682,NIFTY2311917100PE,NIFTY,0.0,2023-01-19,17100.0,0.05,50,PE,NFO-OPT,NFO
15,13231106,51684,NIFTY2311917150PE,NIFTY,0.0,2023-01-19,17150.0,0.05,50,PE,NFO-OPT,NFO
16,13231618,51686,NIFTY2311917200PE,NIFTY,0.0,2023-01-19,17200.0,0.05,50,PE,NFO-OPT,NFO
