,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,11298306,44134,NIFTY2310516400PE,NIFTY,0.0,2023-01-05,16400.0,0.05,50,PE,NFO-OPT,NFO
1,11298818,44136,NIFTY2310516450PE,NIFTY,0.0,2023-01-05,16450.0,0.05,50,PE,NFO-OPT,NFO
2,11303938,44156,NIFTY2310516500PE,NIFTY,0.0,2023-01-05,16500.0,0.05,50,PE,NFO-OPT,NFO
3,11304706,44159,NIFTY2310516550PE,NIFTY,0.0,2023-01-05,16550.0,0.05,50,PE,NFO-OPT,NFO
4,11305986,44164,NIFTY2310516600PE,NIFTY,0.0,2023-01-05,16600.0,0.05,50,PE,NFO-OPT,NFO
5,11306498,44166,NIFTY2310516650PE,NIFTY,0.0,2023-01-05,16650.0,0.05,50,PE,NFO-OPT,NFO
6,11307266,44169,NIFTY2310516700PE,NIFTY,0.0,2023-01-05,16700.0,0.05,50,PE,NFO-OPT,NFO
7,11310850,44183,NIFTY2310516750PE,NIFTY,0.0,2023-01-05,16750.0,0.05,50,PE,NFO-OPT,NFO
8,11311874,44187,NIFTY2310516800PE,NIFTY,0.0,2023-01-05,16800.0,0.05,50,PE,NFO-OPT,NFO
9,11312642,44190,NIFTY2310516850PE,NIFTY,0.0,2023-01-05,16850.0,0.05,50,PE,NFO-OPT,NFO
10,11315714,44202,NIFTY2310516900PE,NIFTY,0.0,2023-01-05,16900.0,0.05,50,PE,NFO-OPT,NFO
11,11316482,44205,NIFTY2310516950PE,NIFTY,0.0,2023-01-05,16950.0,0.05,50,PE,NFO-OPT,NFO
12,11317250,44208,NIFTY2310517000PE,NIFTY,0.0,2023-01-05,17000.0,0.05,50,PE,NFO-OPT,NFO
13,11319810,44218,NIFTY2310517050PE,NIFTY,0.0,2023-01-05,17050.0,0.05,50,PE,NFO-OPT,NFO
14,11324930,44238,NIFTY2310517100PE,NIFTY,0.0,2023-01-05,17100.0,0.05,50,PE,NFO-OPT,NFO
15,11326722,44245,NIFTY2310517150PE,NIFTY,0.0,2023-01-05,17150.0,0.05,50,PE,NFO-OPT,NFO
16,11333890,44273,NIFTY2310517200PE,NIFTY,0.0,2023-01-05,17200.0,0.05,50,PE,NFO-OPT,NFO
17,11334402,44275,NIFTY2310517250PE,NIFTY,0.0,2023-01-05,17250.0,0.05,50,PE,NFO-OPT,NFO
18,11337986,44289,NIFTY2310517300PE,NIFTY,0.0,2023-01-05,17300.0,0.05,50,PE,NFO-OPT,NFO
19,11342338,44306,NIFTY2310517350PE,NIFTY,0.0,2023-01-05,17350.0,0.05,50,PE,NFO-OPT,NFO
20,11351554,44342,NIFTY2310517400PE,NIFTY,0.0,2023-01-05,17400.0,0.05,50,PE,NFO-OPT,NFO
21,11352066,44344,NIFTY2310517450PE,NIFTY,0.0,2023-01-05,17450.0,0.05,50,PE,NFO-OPT,NFO
22,11355138,44356,NIFTY2310517500PE,NIFTY,0.0,2023-01-05,17500.0,0.05,50,PE,NFO-OPT,NFO
23,11359490,44373,NIFTY2310517550PE,NIFTY,0.0,2023-01-05,17550.0,0.05,50,PE,NFO-OPT,NFO
24,11360770,44378,NIFTY2310517600PE,NIFTY,0.0,2023-01-05,17600.0,0.05,50,PE,NFO-OPT,NFO
25,11363586,44389,NIFTY2310517650PE,NIFTY,0.0,2023-01-05,17650.0,0.05,50,PE,NFO-OPT,NFO
26,11364866,44394,NIFTY2310517700PE,NIFTY,0.0,2023-01-05,17700.0,0.05,50,PE,NFO-OPT,NFO
27,11365634,44397,NIFTY2310517750PE,NIFTY,0.0,2023-01-05,17750.0,0.05,50,PE,NFO-OPT,NFO
28,11366658,44401,NIFTY2310517800PE,NIFTY,0.0,2023-01-05,17800.0,0.05,50,PE,NFO-OPT,NFO
29,11368450,44408,NIFTY2310517850PE,NIFTY,0.0,2023-01-05,17850.0,0.05,50,PE,NFO-OPT,NFO
30,11371266,44419,NIFTY2310517900PE,NIFTY,0.0,2023-01-05,17900.0,0.05,50,PE,NFO-OPT,NFO
31,11374850,44433,NIFTY2310517950PE,NIFTY,0.0,2023-01-05,17950.0,0.05,50,PE,NFO-OPT,NFO
32,11376898,44441,NIFTY2310518000PE,NIFTY,0.0,2023-01-05,18000.0,0.05,50,PE,NFO-OPT,NFO
33,11381506,44459,NIFTY2310518050PE,NIFTY,0.0,2023-01-05,18050.0,0.05,50,PE,NFO-OPT,NFO
34,11383554,44467,NIFTY2310518100PE,NIFTY,0.0,2023-01-05,18100.0,0.05,50,PE,NFO-OPT,NFO
35,11384066,44469,NIFTY2310518150PE,NIFTY,0.0,2023-01-05,18150.0,0.05,50,PE,NFO-OPT,NFO
36,11385602,44475,NIFTY2310518200PE,NIFTY,0.0,2023-01-05,18200.0,0.05,50,PE,NFO-OPT,NFO
37,11390466,44494,NIFTY2310518250PE,NIFTY,0.0,2023-01-05,18250.0,0.05,50,PE,NFO-OPT,NFO
38,11391234,44497,NIFTY2310518300PE,NIFTY,0.0,2023-01-05,18300.0,0.05,50,PE,NFO-OPT,NFO
39,11395586,44514,NIFTY2310518350PE,NIFTY,0.0,2023-01-05,18350.0,0.05,50,PE,NFO-OPT,NFO
40,11396354,44517,NIFTY2310518400PE,NIFTY,0.0,2023-01-05,18400.0,0.05,50,PE,NFO-OPT,NFO
41,11396866,44519,NIFTY2310518450PE,NIFTY,0.0,2023-01-05,18450.0,0.05,50,PE,NFO-OPT,NFO
42,11397378,44521,NIFTY2310518500PE,NIFTY,0.0,2023-01-05,18500.0,0.05,50,PE,NFO-OPT,NFO
43,11403522,44545,NIFTY2310518550PE,NIFTY,0.0,2023-01-05,18550.0,0.05,50,PE,NFO-OPT,NFO
44,11405826,44554,NIFTY2310518600PE,NIFTY,0.0,2023-01-05,18600.0,0.05,50,PE,NFO-OPT,NFO
45,11406850,44558,NIFTY2310518650PE,NIFTY,0.0,2023-01-05,18650.0,0.05,50,PE,NFO-OPT,NFO
46,11407362,44560,NIFTY2310518700PE,NIFTY,0.0,2023-01-05,18700.0,0.05,50,PE,NFO-OPT,NFO
47,11408642,44565,NIFTY2310518750PE,NIFTY,0.0,2023-01-05,18750.0,0.05,50,PE,NFO-OPT,NFO
48,11413250,44583,NIFTY2310518800PE,NIFTY,0.0,2023-01-05,18800.0,0.05,50,PE,NFO-OPT,NFO
49,11414786,44589,NIFTY2310518850PE,NIFTY,0.0,2023-01-05,18850.0,0.05,50,PE,NFO-OPT,NFO
50,11415554,44592,NIFTY2310518900PE,NIFTY,0.0,2023-01-05,18900.0,0.05,50,PE,NFO-OPT,NFO
51,11416066,44594,NIFTY2310518950PE,NIFTY,0.0,2023-01-05,18950.0,0.05,50,PE,NFO-OPT,NFO
52,11417090,44598,NIFTY2310519000PE,NIFTY,0.0,2023-01-05,19000.0,0.05,50,PE,NFO-OPT,NFO
53,11419138,44606,NIFTY2310519050PE,NIFTY,0.0,2023-01-05,19050.0,0.05,50,PE,NFO-OPT,NFO
54,11420674,44612,NIFTY2310519100PE,NIFTY,0.0,2023-01-05,19100.0,0.05,50,PE,NFO-OPT,NFO
55,11421186,44614,NIFTY2310519150PE,NIFTY,0.0,2023-01-05,19150.0,0.05,50,PE,NFO-OPT,NFO
56,11425282,44630,NIFTY2310519200PE,NIFTY,0.0,2023-01-05,19200.0,0.05,50,PE,NFO-OPT,NFO
57,11427586,44639,NIFTY2310519250PE,NIFTY,0.0,2023-01-05,19250.0,0.05,50,PE,NFO-OPT,NFO
58,11430146,44649,NIFTY2310519300PE,NIFTY,0.0,2023-01-05,19300.0,0.05,50,PE,NFO-OPT,NFO
59,11433474,44662,NIFTY2310519350PE,NIFTY,0.0,2023-01-05,19350.0,0.05,50,PE,NFO-OPT,NFO
60,11437826,44679,NIFTY2310519400PE,NIFTY,0.0,2023-01-05,19400.0,0.05,50,PE,NFO-OPT,NFO
61,11438594,44682,NIFTY2310519450PE,NIFTY,0.0,2023-01-05,19450.0,0.05,50,PE,NFO-OPT,NFO
62,11439618,44686,NIFTY2310519500PE,NIFTY,0.0,2023-01-05,19500.0,0.05,50,PE,NFO-OPT,NFO
63,11440130,44688,NIFTY2310519550PE,NIFTY,0.0,2023-01-05,19550.0,0.05,50,PE,NFO-OPT,NFO
