Timestamp,Python CPU Percentage,Uvicorn CPU Percentage,Python Memory Percentage,Uvicorn Memory Percentage
17:15:12,"(13.7, 0)","(10.076192601507115, 0)"
17:15:13,"(2.9, 0)","(10.076192601507115, 0)"
17:15:14,"(3.8, 0)","(10.076192601507115, 0)"
17:15:15,"(3.9, 0)","(10.076192601507115, 0)"
17:15:16,"(2.0, 0)","(10.076192601507115, 0)"
17:15:17,"(20.5, 0)","(10.12480921962358, 0)"
17:15:18,"(6.9, 0)","(10.13776036789231, 0)"
17:15:19,"(4.0, 0)","(10.13776036789231, 0)"
17:15:20,"(4.0, 0)","(10.13776036789231, 0)"
17:15:21,"(4.0, 0)","(10.13776036789231, 0)"
17:15:22,"(4.9, 0)","(10.13776036789231, 0)"
17:15:23,"(5.9, 0)","(10.13776036789231, 0)"
17:15:24,"(8.8, 0)","(10.13776036789231, 0)"
17:15:25,"(4.9, 0)","(10.13776036789231, 0)"
17:15:26,"(3.0, 0)","(10.13776036789231, 0)"
17:15:27,"(4.9, 0)","(10.13776036789231, 0)"
17:15:28,"(4.0, 0)","(10.13776036789231, 0)"
17:15:29,"(4.0, 0)","(10.13776036789231, 0)"
17:15:30,"(4.0, 0)","(10.13776036789231, 0)"
17:15:31,"(7.9, 0)","(10.13776036789231, 0)"
17:15:32,"(4.9, 0)","(10.13776036789231, 0)"
17:15:33,"(4.9, 0)","(10.13776036789231, 0)"
17:15:34,"(4.0, 0)","(10.13776036789231, 0)"
17:15:35,"(4.0, 0)","(10.13776036789231, 0)"
17:15:36,"(3.0, 0)","(10.13776036789231, 0)"
17:15:37,"(5.0, 0)","(10.13776036789231, 0)"
17:15:39,"(4.9, 0)","(10.13776036789231, 0)"
17:15:40,"(3.9, 0)","(10.13776036789231, 0)"
17:15:41,"(4.0, 0)","(10.13776036789231, 0)"
17:15:42,"(3.0, 0)","(10.13776036789231, 0)"
17:15:43,"(4.0, 0)","(10.13776036789231, 0)"
17:15:44,"(5.8, 0)","(10.13776036789231, 0)"
